epoch,total_loss,erm_loss,penalty,train_acc,val_acc,val_worst_env_acc,ema_val_acc,ema_val_worst_env_acc,selected_val_acc,val_hybrid_acc,ema_val_hybrid_acc,irm_weight,lr
1,1.5215193414495058,1.4822097331406134,0.03930960711560599,0.36348684210526316,0.5,0.4676767676767677,0.2505050505050505,0.18585858585858586,0.48383838383838385,0.48383838383838385,0.2181818181818182,1.0,0.00035
2,1.2262930836272143,1.2014373603620028,0.024855720507148658,0.44686234817813764,0.4762626262626263,0.4505050505050505,0.41464646464646465,0.3898989898989899,0.4633838383838384,0.4633838383838384,0.4022727272727273,1.0,0.00035
3,1.1191533292353395,1.0987289567225376,0.02042437189571899,0.486082995951417,0.553030303030303,0.5222222222222223,0.4762626262626263,0.4393939393939394,0.5376262626262627,0.5376262626262627,0.4578282828282828,1.0,0.00035
4,1.0533128892361876,1.0320703720274242,0.02124251776999902,0.5247975708502024,0.5944444444444444,0.5767676767676768,0.5040404040404041,0.503030303030303,0.5856060606060607,0.5856060606060607,0.5035353535353535,1.0,0.00035
5,0.9954421795331515,0.9755948308991035,0.019847348905732875,0.5495951417004049,0.5924242424242424,0.591919191919192,0.5156565656565657,0.5131313131313131,0.5921717171717171,0.5921717171717171,0.5143939393939394,1.0,0.00035
6,0.952817874157477,0.9311523953912711,0.021665476112013075,0.5675607287449392,0.6131313131313131,0.5707070707070707,0.554040404040404,0.5272727272727272,0.591919191919192,0.591919191919192,0.5406565656565656,1.0,0.00035
7,0.8976979007122488,0.875920156235637,0.02177774419361534,0.607413967611336,0.7,0.692929292929293,0.5772727272727273,0.5404040404040404,0.6964646464646465,0.6964646464646465,0.5588383838383839,1.0,0.00035
8,0.8491855333691184,0.8196835486512435,0.029501984674791707,0.6473937246963563,0.6722222222222223,0.6545454545454545,0.5984848484848485,0.5515151515151515,0.6633838383838384,0.6633838383838384,0.575,1.0,0.00035
9,0.7775199254032089,0.7420467891191181,0.03547313718430638,0.68459008097166,0.7358585858585859,0.7292929292929293,0.6212121212121212,0.5757575757575758,0.7325757575757577,0.7325757575757577,0.5984848484848485,1.0,0.00035
10,0.7154539818705817,0.6814981752079026,0.033955806408816035,0.7152074898785425,0.8010101010101011,0.7737373737373737,0.6525252525252525,0.6,0.7873737373737374,0.7873737373737374,0.6262626262626263,1.0,0.00035
11,0.6592293567503029,0.623596449612606,0.03393610289672895,0.7513917004048583,0.7893939393939394,0.7343434343434343,0.6924242424242424,0.6292929292929293,0.7618686868686868,0.7618686868686868,0.6608585858585858,1.05,0.00035
12,0.5987594107143309,0.5635115922945231,0.032043470296926155,0.7765688259109311,0.8373737373737373,0.793939393939394,0.7353535353535353,0.6696969696969697,0.8156565656565656,0.8156565656565656,0.7025252525252526,1.1,0.00035
