epoch,train_loss,train_acc,val_acc,ema_val_acc,selected_val_acc,lr
1,1.4517267824092517,0.38216721394291486,0.4717171717171717,0.397979797979798,0.4717171717171717,0.00035
2,1.1251240950637649,0.4809295276584996,0.5257575757575758,0.4297979797979798,0.5257575757575758,0.00035
3,1.0104534172536026,0.537888355645365,0.5873737373737373,0.4707070707070707,0.5873737373737373,0.00035
4,0.9159034851766289,0.5920687042182369,0.6535353535353535,0.5328282828282829,0.6535353535353535,0.00035
5,0.8205204592506281,0.6490275322051023,0.6540404040404041,0.5904040404040404,0.6540404040404041,0.00035
6,0.7503576809693299,0.6812326345036626,0.696969696969697,0.6454545454545455,0.696969696969697,0.00035
7,0.6912286899613141,0.711038140944683,0.7722222222222223,0.701010101010101,0.7722222222222223,0.00035
8,0.6429777727656426,0.7486739075524123,0.798989898989899,0.7484848484848485,0.798989898989899,0.00035
9,0.5910474081387511,0.7635766607729224,0.7464646464646465,0.7787878787878788,0.7787878787878788,0.00035
10,0.5619804517477262,0.781384187926244,0.8025252525252525,0.8075757575757576,0.8075757575757576,0.00035
11,0.4995491570009972,0.8099267491790856,0.8287878787878787,0.8333333333333334,0.8333333333333334,0.00035
12,0.47401775978646754,0.8204091942409699,0.7560606060606061,0.8570707070707071,0.8570707070707071,0.00035
13,0.4406164360937671,0.8329123516039404,0.8146464646464646,0.8681818181818182,0.8681818181818182,0.00035
14,0.43021881805432205,0.8399848446577418,0.8616161616161616,0.8767676767676768,0.8767676767676768,0.00035
15,0.417085266831804,0.8456680980045466,0.8585858585858586,0.8823232323232323,0.8823232323232323,0.00035
16,0.39421951897248503,0.8527405910583481,0.8611111111111112,0.8823232323232323,0.8823232323232323,0.00035
17,0.39076359863608257,0.8557716595099772,0.8752525252525253,0.8878787878787879,0.8878787878787879,0.00035
18,0.3671673017150075,0.8658752210154079,0.8383838383838383,0.8949494949494949,0.8949494949494949,0.00035
19,0.36385662010234543,0.8644859813084113,0.8383838383838383,0.9040404040404041,0.9040404040404041,0.00035
20,0.33258513349359403,0.8797676180853751,0.8742424242424243,0.9040404040404041,0.9040404040404041,0.00035
21,0.3221750872270361,0.8836827481687295,0.8828282828282829,0.9055555555555556,0.9055555555555556,0.00035
22,0.32844047130930754,0.8806516797171002,0.8994949494949495,0.9121212121212121,0.9121212121212121,0.00035
23,0.3097003508537037,0.8872189946956303,0.8717171717171717,0.9141414141414141,0.9141414141414141,0.00035
24,0.2989492521280892,0.8944177822682495,0.9015151515151515,0.9222222222222223,0.9222222222222223,0.00035
25,0.29515994770203496,0.8892397069967164,0.8712121212121212,0.9232323232323232,0.9232323232323232,0.00035
26,0.29024647171372686,0.8969436726446072,0.8222222222222222,0.9262626262626262,0.9262626262626262,0.00035
27,0.2777006741943429,0.9012376862844153,0.9015151515151515,0.9282828282828283,0.9282828282828283,0.00035
28,0.2738455198055929,0.9038898711795909,0.9227272727272727,0.9287878787878788,0.9287878787878788,0.00035
29,0.2706327268829789,0.9008588027279616,0.8893939393939394,0.9297979797979798,0.9297979797979798,0.00035
30,0.2658316511684338,0.9051528163677697,0.9247474747474748,0.9313131313131313,0.9313131313131313,0.00035
31,0.2522818998112074,0.9108360697145744,0.9186868686868687,0.9343434343434344,0.9343434343434344,0.00035
32,0.2563261837933996,0.9078050012629452,0.9242424242424242,0.9353535353535354,0.9353535353535354,0.00035
33,0.23049114252332184,0.9215711038140945,0.9282828282828283,0.9358585858585858,0.9358585858585858,0.00035
34,0.22976375101254154,0.9201818641070978,0.9025252525252525,0.9383838383838384,0.9383838383838384,0.00035
35,0.23737749146087267,0.916645617580197,0.9287878787878788,0.9414141414141414,0.9414141414141414,0.00035
36,0.23121299320725094,0.9175296792119222,0.9015151515151515,0.9414141414141414,0.9414141414141414,0.00035
37,0.22000210147880792,0.922076281889366,0.9358585858585858,0.9409090909090909,0.9409090909090909,0.00035
38,0.208218754455259,0.9277595352361707,0.8914141414141414,0.9419191919191919,0.9419191919191919,0.00035
39,0.21414029307947613,0.9237181106339984,0.9338383838383838,0.9444444444444444,0.9444444444444444,0.00035
40,0.20138279592604702,0.9283910078302602,0.9378787878787879,0.9474747474747475,0.9474747474747475,0.00035
41,0.19988254100426817,0.9316746653195251,0.9393939393939394,0.9494949494949495,0.9494949494949495,0.00035
42,0.200300846484107,0.9323061379136145,0.9292929292929293,0.952020202020202,0.952020202020202,0.00035
43,0.21149362623785656,0.9273806516797171,0.9363636363636364,0.95,0.95,0.00035
44,0.19137658039590164,0.9325587269512503,0.9318181818181818,0.9515151515151515,0.9515151515151515,0.00035
45,0.19921856047409175,0.9336953776206113,0.9505050505050505,0.952020202020202,0.952020202020202,0.00035
46,0.1848467626820861,0.9382419802980551,0.9222222222222223,0.9525252525252526,0.9525252525252526,0.00035
