"stage","pair_id","irm_run_name","erm_run_name","irm_selected_val_acc","erm_selected_val_acc","irm_test_acc_selected","erm_test_acc_selected","test_acc_gap_irm_minus_erm","model_variant","seed"
"stage_a","a2","a2_irm","a2_erm","0.9765151515151516","0.9787878787878788","0.46615477874318045","0.4184683774499899","0.04768640129319057","baseline","42"
"stage_a","a7","a7_irm","a7_erm","0.9795454545454545","0.9813131313131314","0.46474035158617905","0.3984643362295413","0.06627601535663774","baseline","42"
