epoch,train_loss,train_acc,val_acc,ema_val_acc,selected_val_acc,lr
1,1.6608694901698826,0.3540035362465269,0.4121212121212121,0.3378787878787879,0.4121212121212121,0.00025
2,1.399254854955767,0.4551654458196514,0.4767676767676768,0.39595959595959596,0.4767676767676768,0.00025
3,1.3172515873115271,0.5018944177822683,0.5080808080808081,0.4484848484848485,0.5080808080808081,0.00025
4,1.2724880889137153,0.5388987117959081,0.6,0.49797979797979797,0.6,0.00025
5,1.2131840534269223,0.5798181358929022,0.5853535353535354,0.552020202020202,0.5853535353535354,0.00025
6,1.16691390824878,0.604950745137661,0.6398989898989899,0.591919191919192,0.6398989898989899,0.00025
7,1.1195951609877692,0.6481434705733771,0.6661616161616162,0.6318181818181818,0.6661616161616162,0.00025
8,1.068211193261167,0.6823692851730235,0.7348484848484849,0.6666666666666666,0.7348484848484849,0.00025
9,1.054044634683411,0.6995453397322556,0.7459595959595959,0.701010101010101,0.7459595959595959,0.00025
10,1.0002738556858264,0.7284667845415509,0.7570707070707071,0.7338383838383838,0.7570707070707071,0.00025
11,0.9695725288015329,0.7513260924475877,0.7944444444444444,0.7515151515151515,0.7944444444444444,0.00025
12,0.9451373756217908,0.7700176812326345,0.7757575757575758,0.7752525252525253,0.7757575757575758,0.00025
13,0.9230357631043552,0.776963879767618,0.806060606060606,0.796969696969697,0.806060606060606,0.00025
14,0.8915298534903029,0.7979287698913867,0.7393939393939394,0.8181818181818182,0.8181818181818182,0.00025
15,0.8729374324411237,0.8080323313968174,0.8287878787878787,0.8363636363636363,0.8363636363636363,0.00025
16,0.8620848542483475,0.8186410709775196,0.853030303030303,0.848989898989899,0.853030303030303,0.00025
17,0.8394443807983736,0.8273553927759535,0.8464646464646465,0.8611111111111112,0.8611111111111112,0.00025
18,0.82865247170291,0.828997221520586,0.8353535353535354,0.8641414141414141,0.8641414141414141,0.00025
19,0.8080621998127616,0.8470573377115433,0.8570707070707071,0.8757575757575757,0.8757575757575757,0.00025
20,0.7968847526989672,0.8524880020207123,0.8505050505050505,0.8797979797979798,0.8797979797979798,0.00025
