epoch,total_loss,erm_loss,penalty,train_acc,val_acc,val_worst_env_acc,ema_val_acc,ema_val_worst_env_acc,selected_val_acc,val_hybrid_acc,ema_val_hybrid_acc,irm_weight,lr
1,1.6094346659386207,1.5659121574177917,0.04352251036559729,0.3429908906882591,0.48333333333333334,0.4777777777777778,0.21515151515151515,0.16262626262626262,0.48055555555555557,0.48055555555555557,0.18888888888888888,1.0,0.0003
2,1.3028959605375283,1.284825572842046,0.018070391817555397,0.4458502024291498,0.46616161616161617,0.4303030303030303,0.4166666666666667,0.403030303030303,0.4482323232323232,0.4482323232323232,0.40984848484848485,1.0,0.0003
3,1.2199623751254216,1.2018278525908466,0.0181345207940084,0.4643218623481781,0.5631313131313131,0.5424242424242425,0.48484848484848486,0.4494949494949495,0.5527777777777778,0.5527777777777778,0.4671717171717172,1.0,0.0003
4,1.144937640983566,1.1287045613956836,0.016233080092545125,0.5026568825910931,0.591919191919192,0.5797979797979798,0.4898989898989899,0.48383838383838385,0.5858585858585859,0.5858585858585859,0.4868686868686869,1.0,0.0003
5,1.0960460652706594,1.0815538295850098,0.014492233788892948,0.5308704453441295,0.5909090909090909,0.5888888888888889,0.5196969696969697,0.5121212121212121,0.5898989898989899,0.5898989898989899,0.5159090909090909,1.0,0.0003
6,1.0752107814738625,1.0552351011438408,0.015770274013842206,0.5516194331983806,0.6191919191919192,0.5949494949494949,0.55,0.5353535353535354,0.6070707070707071,0.6070707070707071,0.5426767676767676,1.2666666666666666,0.0003
7,1.0255676633433293,0.996894829427665,0.018699674549749874,0.5861589068825911,0.6757575757575758,0.6696969696969697,0.5565656565656566,0.5484848484848485,0.6727272727272727,0.6727272727272727,0.5525252525252525,1.5333333333333332,0.0003
8,0.9927077329593149,0.9604198215944082,0.017937729305772466,0.6107034412955465,0.6515151515151515,0.6484848484848484,0.5686868686868687,0.5505050505050505,0.6499999999999999,0.6499999999999999,0.5595959595959596,1.8,0.0003
9,0.9548777872734224,0.9172588480628936,0.018202713259678666,0.6432186234817814,0.6813131313131313,0.6606060606060606,0.5893939393939394,0.5626262626262626,0.670959595959596,0.670959595959596,0.576010101010101,2.0666666666666664,0.0003
10,0.9371314157358548,0.8905514526946342,0.019962843410900936,0.6532135627530364,0.7202020202020202,0.6727272727272727,0.6222222222222222,0.5848484848484848,0.6964646464646465,0.6964646464646465,0.6035353535353536,2.333333333333333,0.0003
11,0.9140654025290177,0.8620354127787385,0.020011534934582072,0.6651062753036437,0.7207070707070707,0.7171717171717171,0.657070707070707,0.6191919191919192,0.718939393939394,0.718939393939394,0.6381313131313131,2.6,0.0003
12,0.8919605296633022,0.8303980689782363,0.02147527748481962,0.6857287449392713,0.7722222222222223,0.7393939393939394,0.6803030303030303,0.6323232323232323,0.7558080808080808,0.7558080808080808,0.6563131313131313,2.8666666666666667,0.0003
13,0.9209179202554679,0.8221916879719569,0.03150837032813495,0.6988866396761133,0.6964646464646465,0.6757575757575758,0.7126262626262626,0.6606060606060606,0.6866161616161617,0.6861111111111111,0.6866161616161617,3.1333333333333333,0.0003
14,0.8999206749533835,0.8039101316378667,0.028238394586576773,0.7000253036437247,0.7898989898989899,0.7525252525252525,0.7368686868686869,0.6878787878787879,0.7712121212121212,0.7712121212121212,0.7123737373737373,3.4,0.0003
15,0.834411643053356,0.7470793894186676,0.02381788669212668,0.7314018218623481,0.8015151515151515,0.7919191919191919,0.7580808080808081,0.7141414141414142,0.7967171717171717,0.7967171717171717,0.7361111111111112,3.6666666666666665,0.0003
16,0.8284353970998695,0.7356724155093977,0.023583808058739907,0.7365890688259109,0.7505050505050505,0.7333333333333333,0.7808080808080808,0.7454545454545455,0.7631313131313131,0.7419191919191919,0.7631313131313131,3.933333333333333,0.0003
17,0.817532650734249,0.7065872014292821,0.026415584672643377,0.7524038461538461,0.8378787878787879,0.7868686868686868,0.7858585858585858,0.7555555555555555,0.8123737373737374,0.8123737373737374,0.7707070707070707,4.2,0.0003
18,0.8049788243374844,0.6849758573147932,0.02686633510378677,0.7726467611336032,0.8045454545454546,0.7919191919191919,0.8101010101010101,0.7787878787878788,0.7982323232323232,0.7982323232323232,0.7944444444444445,4.466666666666667,0.0003
19,0.8273415100960596,0.6715470161515209,0.032914331650266214,0.7807439271255061,0.8459595959595959,0.8191919191919191,0.8181818181818182,0.7898989898989899,0.8325757575757575,0.8325757575757575,0.8040404040404041,4.733333333333333,0.0003
20,0.8046263847273853,0.6528805887650865,0.030349159318015715,0.7875759109311741,0.8292929292929293,0.8131313131313131,0.8297979797979798,0.803030303030303,0.8212121212121213,0.8212121212121213,0.8164141414141414,5.0,0.0003
21,0.7921064175092257,0.6460272905073667,0.029215825141975134,0.7858046558704453,0.85,0.794949494949495,0.843939393939394,0.8191919191919191,0.8315656565656566,0.8224747474747475,0.8315656565656566,5.0,0.0003
22,0.7881901563420469,0.6210111357905121,0.0334358041298784,0.798836032388664,0.8671717171717171,0.8555555555555555,0.8580808080808081,0.8353535353535354,0.8613636363636363,0.8613636363636363,0.8467171717171718,5.0,0.0003
