epoch,total_loss,erm_loss,penalty,train_acc,val_acc,val_worst_env_acc,selected_val_acc,irm_weight,lr
1,2.0322459349866775,1.969335202310906,0.06291073305734154,0.18993340163934427,0.36262626262626263,0.3242424242424242,0.3242424242424242,1.0,0.0003
2,1.6690063535190018,1.6656003877764842,0.003405967972181226,0.319672131147541,0.44696969696969696,0.43232323232323233,0.43232323232323233,1.0,0.0003
3,1.5024927053295198,1.4975463132389257,0.004946397580244563,0.39190573770491804,0.5282828282828282,0.5040404040404041,0.5040404040404041,1.0,0.0003
4,1.3551869861415176,1.3506799564986933,0.004507032400173646,0.444672131147541,0.5565656565656566,0.5070707070707071,0.5070707070707071,1.0,0.0003
5,1.2705787381187814,1.2673711366340763,0.0032075985827908823,0.4718237704918033,0.5878787878787879,0.5515151515151515,0.5515151515151515,1.0,0.0003
6,1.2367156822173322,1.2327251629751237,0.003990515573217427,0.49500512295081966,0.5843434343434344,0.5474747474747474,0.5474747474747474,1.0,0.0003
7,1.1849489759226315,1.1818448422385044,0.003104133455023851,0.5167776639344263,0.6267676767676768,0.6191919191919192,0.6191919191919192,1.0,0.0003
8,1.1564219584230517,1.15236668703986,0.004055267269621731,0.5418801229508197,0.6404040404040404,0.6151515151515151,0.6151515151515151,1.0,0.0003
9,1.1277717645051049,1.1236252511133913,0.004146517834401418,0.5557120901639344,0.6343434343434343,0.6232323232323232,0.6232323232323232,1.0,0.0003
10,1.117330970334225,1.111811529417507,0.005519434430529831,0.5687756147540983,0.602020202020202,0.5626262626262626,0.5626262626262626,1.0,0.0003
11,1.09127204828575,1.08629692968775,0.004975117768779336,0.5905481557377049,0.6883838383838384,0.6626262626262627,0.6626262626262627,1.0,0.0003
12,1.0449265935381904,1.040443540596571,0.004483050678080887,0.6194928278688525,0.702020202020202,0.6585858585858586,0.6585858585858586,1.0,0.0003
13,1.035062665822076,1.029072509437311,0.005990155849393188,0.6275614754098361,0.6681818181818182,0.6676767676767676,0.6676767676767676,1.0,0.0003
14,1.0022106151111791,0.9968771494802882,0.005333463158735196,0.6488217213114754,0.7191919191919192,0.6909090909090909,0.6909090909090909,1.0,0.0003
15,0.9829693632047685,0.9771366168241031,0.005832744152552341,0.6582991803278688,0.747979797979798,0.7252525252525253,0.7252525252525253,1.0,0.0003
16,0.9576202122891535,0.952657193434043,0.004963020475024975,0.6786629098360656,0.7171717171717171,0.6595959595959596,0.6595959595959596,1.0,0.0003
17,0.9447737971290213,0.9384952070283108,0.006278591747701046,0.6822489754098361,0.7282828282828283,0.6878787878787879,0.6878787878787879,1.0,0.0003
18,0.9246233447653348,0.9189027342639986,0.005720610734837852,0.7010758196721312,0.7707070707070707,0.7242424242424242,0.7242424242424242,1.0,0.0003
19,0.9141699876941618,0.9074531500456763,0.006716835461881347,0.7013319672131147,0.7515151515151515,0.7090909090909091,0.7090909090909091,1.0,0.0003
20,0.9231040135758822,0.9154101659039982,0.0076938463014394965,0.6991547131147541,0.7585858585858586,0.706060606060606,0.706060606060606,1.0,0.0003
21,0.8635563967657871,0.8576033086073204,0.005953088102286842,0.7288678278688525,0.7797979797979798,0.7707070707070707,0.7707070707070707,1.0,0.0003
22,0.8575423340328404,0.8520028268704649,0.005539508613988712,0.7284836065573771,0.7570707070707071,0.7242424242424242,0.7242424242424242,1.0,0.0003
23,0.8557860655862777,0.847122808948892,0.008663256155263983,0.7398821721311475,0.8323232323232324,0.8212121212121212,0.8212121212121212,1.0,0.0003
24,0.8230800853400934,0.8171001926797336,0.005979893940451295,0.7517930327868853,0.7691919191919192,0.7464646464646465,0.7464646464646465,1.0,0.0003
25,0.8395643263566689,0.8314394628415342,0.008124864381570064,0.7489754098360656,0.8085858585858586,0.794949494949495,0.794949494949495,1.0,0.0003
26,0.7945013525056057,0.788688344056489,0.0058130049932753804,0.7670338114754098,0.8409090909090909,0.8131313131313131,0.8131313131313131,1.0,0.0003
27,0.7746769522057205,0.7685400667737742,0.006136887756912954,0.7865010245901639,0.8459595959595959,0.8242424242424242,0.8242424242424242,1.0,0.0003
28,0.7507883886821934,0.7447118749384021,0.006076515219618039,0.7958504098360656,0.854040404040404,0.8363636363636363,0.8363636363636363,1.0,0.0003
29,0.7644412331893796,0.7568717325320009,0.007569500114067389,0.7840676229508197,0.8202020202020202,0.796969696969697,0.796969696969697,1.0,0.0003
30,0.7699076308578742,0.7626615371860441,0.007246094572617382,0.788422131147541,0.8444444444444444,0.807070707070707,0.807070707070707,1.0,0.0003
31,0.7325955560949983,0.7251603505650505,0.007435209883266505,0.8132684426229508,0.8772727272727273,0.8424242424242424,0.8424242424242424,1.0,0.0003
32,0.7199736188669674,0.7139671132212779,0.0060065073550027055,0.8128842213114754,0.8762626262626263,0.8595959595959596,0.8595959595959596,1.0,0.0003
33,0.7175206151164946,0.7112634973447831,0.006257120467990553,0.8167264344262295,0.8282828282828283,0.796969696969697,0.796969696969697,1.0,0.0003
34,0.7086910341606766,0.7024816851146886,0.006209348839696699,0.8192879098360656,0.8702020202020202,0.8262626262626263,0.8262626262626263,1.0,0.0003
35,0.6852389026860721,0.6789772960006214,0.006261607701699326,0.8314549180327869,0.9055555555555556,0.8838383838383839,0.8838383838383839,1.0,0.0003
36,0.6671485334146218,0.6609628835662467,0.006185647067259644,0.8418288934426229,0.8782828282828283,0.8282828282828283,0.8282828282828283,1.0,0.0003
37,0.6587890933771603,0.6529861581130106,0.005802935989061657,0.8442622950819673,0.9030303030303031,0.8676767676767677,0.8676767676767677,1.0,0.0003
38,0.6724671076555722,0.6649710340578048,0.0074960771953108815,0.8381147540983607,0.8570707070707071,0.8090909090909091,0.8090909090909091,1.0,0.0003
39,0.68007728115457,0.6695540547370911,0.010523226786047968,0.8392674180327869,0.9035353535353535,0.8747474747474747,0.8747474747474747,1.0,0.0003
40,0.634024472998791,0.6274938427033971,0.00653062876016684,0.8530993852459017,0.854040404040404,0.798989898989899,0.798989898989899,1.0,0.0003
41,0.6463644172324509,0.6402931213378906,0.006071294066028624,0.8473360655737705,0.8828282828282829,0.8494949494949495,0.8494949494949495,1.0,0.00015
