epoch,total_loss,erm_loss,penalty,train_acc,val_acc,val_worst_env_acc,selected_val_acc,val_hybrid_acc,irm_weight,lr
1,1.380737201646272,1.348657867927783,0.032079335440446055,0.40321356275303644,0.48484848484848486,0.4585858585858586,0.47171717171717176,0.47171717171717176,1.0,0.0005
2,1.1217798062181665,1.1006731625027986,0.02110664020000907,0.4865890688259109,0.5863636363636363,0.5484848484848485,0.5674242424242424,0.5674242424242424,1.0,0.0005
3,1.0058951049681135,0.9846996903902123,0.021195415160014552,0.5440283400809717,0.6111111111111112,0.603030303030303,0.6070707070707071,0.6070707070707071,1.0,0.0005
4,0.9137223664565608,0.8850733406147976,0.028649025410920407,0.6052631578947368,0.6848484848484848,0.6838383838383838,0.6843434343434343,0.6843434343434343,1.0,0.0005
5,0.8511493823788909,0.8165164005901167,0.034632982946977094,0.6480263157894737,0.6994949494949495,0.6989898989898989,0.6992424242424242,0.6992424242424242,1.0,0.0005
6,0.7530568573880292,0.7098908823752693,0.043165975795558705,0.7059716599190283,0.7090909090909091,0.701010101010101,0.705050505050505,0.705050505050505,1.0,0.0005
7,0.6606836963279045,0.6230607199282782,0.03762297732305434,0.7453188259109311,0.8181818181818182,0.7747474747474747,0.7964646464646465,0.7964646464646465,1.0,0.0005
8,0.5634263591003804,0.5300472524725957,0.03337910625102566,0.792257085020243,0.8515151515151516,0.8171717171717172,0.8343434343434344,0.8343434343434344,1.0,0.0005
9,0.5259296045853541,0.4891095943296487,0.03682000990672464,0.80959008097166,0.8308080808080808,0.7797979797979798,0.8053030303030303,0.8053030303030303,1.0,0.0005
10,0.45843510299559065,0.42603733152271767,0.03239777177068648,0.8359058704453441,0.8904040404040404,0.8525252525252526,0.8714646464646465,0.8714646464646465,1.0,0.0005
11,0.44365263051590936,0.40615579645764005,0.03124736113415919,0.8445091093117408,0.9040404040404041,0.8676767676767677,0.8858585858585859,0.8858585858585859,1.2,0.0005
12,0.4123413133838399,0.3637657169147059,0.03469685539871884,0.8620951417004049,0.9035353535353535,0.8757575757575757,0.8896464646464646,0.8896464646464646,1.4,0.0005
13,0.37140507471223594,0.32735410700684137,0.027531854179829195,0.8755060728744939,0.906060606060606,0.8707070707070707,0.8883838383838383,0.8883838383838383,1.6,0.0005
14,0.38331854976864477,0.3299221804267482,0.02966465116000116,0.8767712550607287,0.9025252525252525,0.8686868686868687,0.8856060606060606,0.8856060606060606,1.8,0.0005
15,0.3333534618862245,0.289386325700563,0.02198356854111222,0.8896761133603239,0.9227272727272727,0.9151515151515152,0.918939393939394,0.918939393939394,2.0,0.0005
16,0.3552810277050806,0.2957785773856437,0.027046567951998324,0.8934716599190283,0.9207070707070707,0.8848484848484849,0.9027777777777778,0.9027777777777778,2.2,0.0005
17,0.34153464436531067,0.28712520902214744,0.02267059680694942,0.8929655870445344,0.9237373737373737,0.895959595959596,0.9098484848484849,0.9098484848484849,2.4,0.0005
18,0.3345149939178455,0.2685330856727202,0.025377658190019994,0.899671052631579,0.907070707070707,0.8808080808080808,0.8939393939393939,0.8939393939393939,2.6,0.0005
19,0.3438312696964152,0.272799391902772,0.025368528244408932,0.895242914979757,0.9303030303030303,0.907070707070707,0.9186868686868687,0.9186868686868687,2.8,0.0005
20,0.31589360688982704,0.25496101560380297,0.020310863273370037,0.9061234817813765,0.9146464646464646,0.8727272727272727,0.8936868686868686,0.8936868686868686,3.0,0.0005
21,0.30675144644401336,0.24426074407481954,0.01952834396809481,0.9078947368421053,0.9232323232323232,0.9191919191919192,0.9212121212121211,0.9212121212121211,3.2,0.0005
22,0.32298677671052184,0.2548310398029895,0.02004580439383217,0.9081477732793523,0.9186868686868687,0.8808080808080808,0.8997474747474747,0.8997474747474747,3.4,0.0005
23,0.3026403359435348,0.23723374138235565,0.01816849906981358,0.9111842105263158,0.944949494949495,0.9252525252525252,0.9351010101010101,0.9351010101010101,3.6,0.0005
24,0.295643961682976,0.23374109535745763,0.016290227930167094,0.9092864372469636,0.9363636363636364,0.9191919191919192,0.9277777777777778,0.9277777777777778,3.8,0.0005
25,0.28682919615796704,0.2224236971393288,0.01610137491470117,0.9153593117408907,0.9338383838383838,0.9151515151515152,0.9244949494949495,0.9244949494949495,4.0,0.0005
26,0.3070669306917229,0.2293579730578521,0.01850213394439044,0.9139676113360324,0.9368686868686869,0.9171717171717172,0.9270202020202021,0.9270202020202021,4.2,0.0005
27,0.3183559996155109,0.23806537817484938,0.018247868020185513,0.9132085020242915,0.9393939393939394,0.9232323232323232,0.9313131313131313,0.9313131313131313,4.4,0.0005
28,0.31080437762293256,0.22965423802011892,0.01764133475004009,0.917257085020243,0.9505050505050505,0.9373737373737374,0.943939393939394,0.943939393939394,4.6,0.0005
29,0.3260331741168431,0.2334097445101632,0.019296547093441398,0.913335020242915,0.9358585858585858,0.9212121212121213,0.9285353535353535,0.9285353535353535,4.8,0.0005
30,0.330223273591474,0.23584487583292157,0.01887567954629034,0.9129554655870445,0.9272727272727272,0.896969696969697,0.9121212121212121,0.9121212121212121,5.0,0.0005
31,0.29680676619533586,0.22062476617302973,0.015236399835270174,0.9124493927125507,0.947979797979798,0.9323232323232323,0.9401515151515152,0.9401515151515152,5.0,0.0005
32,0.28660430493745725,0.20903646561358621,0.01551356795945003,0.923836032388664,0.9525252525252526,0.9363636363636364,0.9444444444444444,0.9444444444444444,5.0,0.0005
33,0.27841632327570126,0.20386261732019634,0.01491074121252234,0.9232034412955465,0.95,0.9373737373737374,0.9436868686868687,0.9436868686868687,5.0,0.0005
34,0.3063082709787828,0.22165822105007132,0.016930010038132874,0.9151062753036437,0.9454545454545454,0.9353535353535354,0.9404040404040404,0.9404040404040404,5.0,0.0005
35,0.278087661545045,0.20655394488802323,0.014306743336942327,0.9240890688259109,0.9505050505050505,0.9343434343434344,0.9424242424242424,0.9424242424242424,5.0,0.0005
36,0.2823106218808093,0.20235536034833565,0.015991052388020805,0.9251012145748988,0.9424242424242424,0.9171717171717172,0.9297979797979798,0.9297979797979798,5.0,0.0005
37,0.3145197886023444,0.2227780638330499,0.018348344955767735,0.9183957489878543,0.9505050505050505,0.9363636363636364,0.9434343434343435,0.9434343434343435,5.0,0.0005
38,0.254764373727173,0.18162786064722278,0.014627302864609807,0.9347165991902834,0.9535353535353536,0.9414141414141414,0.9474747474747475,0.9474747474747475,5.0,0.0005
39,0.2694701827489413,0.19595640283907473,0.014702756018477921,0.9240890688259109,0.9474747474747475,0.9282828282828283,0.9378787878787879,0.9378787878787879,5.0,0.0005
40,0.2711674423684717,0.1937038552558977,0.0154927173734389,0.927505060728745,0.943939393939394,0.9333333333333333,0.9386363636363637,0.9386363636363637,5.0,0.0005
41,0.2505452834401536,0.18411656938161444,0.013285742818824721,0.930921052631579,0.9388888888888889,0.9252525252525252,0.932070707070707,0.932070707070707,5.0,0.0005
42,0.26122162361376683,0.1908032386167812,0.014083676926248711,0.926745951417004,0.9222222222222223,0.9191919191919192,0.9207070707070708,0.9207070707070708,5.0,0.0005
43,0.2768410937747492,0.20391308347343917,0.014585602172830205,0.9239625506072875,0.956060606060606,0.9424242424242424,0.9492424242424242,0.9492424242424242,5.0,0.0005
44,0.23131997052293557,0.1724029671973907,0.011783400659797083,0.9386386639676113,0.9126262626262627,0.8939393939393939,0.9032828282828282,0.9032828282828282,5.0,0.0005
45,0.25008131233364467,0.17555797368529355,0.014904668053781545,0.9342105263157895,0.9297979797979798,0.8898989898989899,0.9098484848484849,0.9098484848484849,5.0,0.0005
46,0.24081901522722804,0.17224788074551323,0.013714226909221701,0.9344635627530364,0.9545454545454546,0.9424242424242424,0.9484848484848485,0.9484848484848485,5.0,0.0005
