epoch,train_loss,train_acc,val_acc,ema_val_acc,selected_val_acc,lr
1,1.6791363894623257,0.29982318767365496,0.5222222222222223,0.15454545454545454,0.5222222222222223,0.001
2,1.258292590195737,0.4765092194998737,0.5398989898989899,0.3333333333333333,0.5398989898989899,0.001
3,1.170099052493998,0.5294266228845668,0.5661616161616162,0.20202020202020202,0.5661616161616162,0.001
4,1.093823570710115,0.5709775195756505,0.5691919191919191,0.27575757575757576,0.5691919191919191,0.001
5,1.0143559092251633,0.6232634503662541,0.6984848484848485,0.3782828282828283,0.6984848484848485,0.001
6,0.9287939050276492,0.6770649153826724,0.7111111111111111,0.44343434343434346,0.7111111111111111,0.001
7,0.8551998858832446,0.7208891134124779,0.7702020202020202,0.5085858585858586,0.7702020202020202,0.001
8,0.7951858649653719,0.753220510229856,0.8075757575757576,0.5828282828282828,0.8075757575757576,0.001
9,0.7359946537541753,0.7884566809800455,0.8196969696969697,0.6686868686868687,0.8196969696969697,0.001
10,0.6893811347238281,0.8123263450366254,0.8651515151515151,0.7353535353535353,0.8651515151515151,0.001
11,0.66110860309266,0.8311442283404901,0.8737373737373737,0.7848484848484848,0.8737373737373737,0.001
12,0.6298424909740543,0.8437736802222784,0.8292929292929293,0.8318181818181818,0.8318181818181818,0.001
13,0.6093236835775546,0.8545087143217984,0.906060606060606,0.8606060606060606,0.906060606060606,0.001
14,0.5806593415290908,0.8648648648648649,0.9126262626262627,0.8853535353535353,0.9126262626262627,0.001
15,0.5567854642868042,0.88305127557464,0.8964646464646465,0.9,0.9,0.001
16,0.548889864391376,0.8851982823945441,0.8737373737373737,0.9101010101010101,0.9101010101010101,0.001
17,0.5326892351164725,0.8931548370800707,0.9176767676767676,0.9186868686868687,0.9186868686868687,0.001
18,0.5203534771649938,0.8946703713058853,0.9237373737373737,0.9257575757575758,0.9257575757575758,0.001
19,0.5107886810650817,0.8995958575397828,0.9242424242424242,0.9308080808080809,0.9308080808080809,0.001
20,0.5033927835970101,0.903637282141955,0.9323232323232323,0.9338383838383838,0.9338383838383838,0.001
21,0.47945629676413914,0.9136145491285678,0.9373737373737374,0.9358585858585858,0.9373737373737374,0.001
22,0.47630056914249796,0.9185400353624653,0.9126262626262627,0.9358585858585858,0.9358585858585858,0.001
23,0.46869998465706886,0.9163930285425612,0.9282828282828283,0.9388888888888889,0.9388888888888889,0.001
24,0.45445923105608665,0.9272543571608992,0.9464646464646465,0.9414141414141414,0.9464646464646465,0.001
25,0.45584758517717466,0.9262440010103562,0.9404040404040404,0.9414141414141414,0.9414141414141414,0.001
26,0.4566460987870577,0.926370295529174,0.9297979797979798,0.9444444444444444,0.9444444444444444,0.001
27,0.44701930526742795,0.9280121242738065,0.9419191919191919,0.9454545454545454,0.9454545454545454,0.001
28,0.43903684646199825,0.9336953776206113,0.9464646464646465,0.9494949494949495,0.9494949494949495,0.001
29,0.43216365311566735,0.9362212679969689,0.946969696969697,0.952020202020202,0.952020202020202,0.001
30,0.417289023448735,0.9427885829754988,0.9515151515151515,0.955050505050505,0.955050505050505,0.001
31,0.425817046631584,0.9374842131851477,0.954040404040404,0.9555555555555556,0.9555555555555556,0.001
32,0.4207569168173445,0.939378630967416,0.9409090909090909,0.9590909090909091,0.9590909090909091,0.001
33,0.42269864496964343,0.9386208638545087,0.955050505050505,0.9595959595959596,0.9595959595959596,0.001
34,0.40594616755146845,0.9487244253599394,0.9444444444444444,0.9611111111111111,0.9611111111111111,0.001
35,0.4117707905895212,0.9454407678706744,0.9535353535353536,0.9606060606060606,0.9606060606060606,0.001
36,0.3996683558857059,0.9488507198787572,0.95,0.9611111111111111,0.9611111111111111,0.001
37,0.39632269021205513,0.9506188431422077,0.9393939393939394,0.9616161616161616,0.9616161616161616,0.001
38,0.3866114760776095,0.9564283910078303,0.9575757575757575,0.9611111111111111,0.9611111111111111,0.001
39,0.3846738923827516,0.9575650416771913,0.9590909090909091,0.9611111111111111,0.9611111111111111,0.001
40,0.39845415912182774,0.9506188431422077,0.9535353535353536,0.9616161616161616,0.9616161616161616,0.001
41,0.3885133325090069,0.9530184389997474,0.9464646464646465,0.9626262626262626,0.9626262626262626,0.001
42,0.3750223754918103,0.959964637534731,0.9454545454545454,0.9636363636363636,0.9636363636363636,0.001
43,0.38016489833164285,0.9570598636019196,0.9505050505050505,0.9626262626262626,0.9626262626262626,0.001
44,0.3759224497329469,0.9575650416771913,0.9207070707070707,0.9636363636363636,0.9636363636363636,0.001
45,0.3767326900410393,0.9598383430159131,0.9535353535353536,0.9661616161616161,0.9661616161616161,0.001
46,0.3708564710605021,0.9626168224299065,0.953030303030303,0.9671717171717171,0.9671717171717171,0.001
47,0.3820034194381046,0.9569335690831018,0.955050505050505,0.9671717171717171,0.9671717171717171,0.001
48,0.36161175520018396,0.967542308663804,0.9666666666666667,0.9671717171717171,0.9671717171717171,0.001
49,0.3579855727995848,0.9662793634756252,0.9641414141414142,0.9676767676767677,0.9676767676767677,0.001
50,0.3523977335187696,0.969689315483708,0.9671717171717171,0.9691919191919192,0.9691919191919192,0.001
